feature,mean_abs_shap
fcst_anomaly,0.568663
clim_bust_rate,0.40589043
clim_fcst_mean,0.3786016
fcst_rel_to_p90,0.28388363
day_of_season,0.22106327
lagged_mean,0.19152491
lagged_spread,0.17857628
fcst_rain_mm,0.17848787
spread_growth,0.16797708
mcz_q850_z,0.14678277
tcwv,0.13567758
terrain_roughness_m,0.099639215
z500,0.09457923
lagged_range,0.09351131
fcst_prev_run,0.08977732
regime_break_monsoon,0.08379259
clim_obs_p90,0.083663225
india_tcwv_z,0.07627126
clim_obs_mean,0.072361976
lagged_spread_rel,0.061516296
jumpiness,0.060686972
india_shear_z,0.059726004
elevation_m,0.055490114
lead_day,0.05414295
moisture_flux_850,0.047892157
v850,0.046733093
mslp,0.04598169
u850,0.045730606
somali_jet_d3,0.04015908
india_q850_z,0.039858054
regime_coastal,0.039812796
coastal_index,0.036798168
somali_jet_z,0.035295106
wind_shear,0.034623455
regime_entropy,0.029499236
india_tcwv_d1,0.029306466
regime_active_monsoon,0.028451141
orographic_index,0.02813918
regime_monsoon_depression,0.02770669
bob_vorticity_max_z,0.02587262
somali_jet_d1,0.025211051
bob_vorticity_max_d1,0.024701782
bob_mslp_min_z,0.024598684
nw_z500_z,0.02428153
monsoon_trough_mslp_z,0.02376596
regime_orographic,0.023008894
regime_western_disturbance,0.022546446
regime_top_prob,0.021493413
monsoon_trough_mslp_d1,0.020744223
nw_z500_d1,0.016635036
lagged_n_members,0.010931122
month,0.007843313
