subdivision_id,n_cells,n_land_cells,area_km2,modelled
ANDAMAN_NICOBAR,52,0,7577.852942988163,False
ARUNACHAL_PRADESH,171,159,79353.73717318507,True
ASSAM_MEGHALAYA,194,191,97190.61300759738,True
BIHAR,182,182,90570.80080548103,True
CHHATTISGARH,249,249,130404.8440121458,True
COASTAL_AP,188,162,90771.53541136492,True
COASTAL_KARNATAKA,49,47,18468.701525811623,True
EAST_MP,250,250,130056.50726286629,True
EAST_RAJASTHAN,279,279,136826.18106031342,True
EAST_UP,231,231,121036.36549488225,True
GANGETIC_WB,126,115,61079.08500327895,True
GUJARAT_REGION,172,171,81578.82338576837,True
HAR_CHD_DELHI,104,104,44350.02693514448,True
HIMACHAL_PRADESH,116,116,54616.045588869405,True
JAMMU_KASHMIR,417,403,221540.19426736617,True
JHARKHAND,160,160,76818.96196003936,True
KERALA_MAHE,84,84,39421.6644562951,True
KONKAN_GOA,81,80,33319.21027192656,True
LAKSHADWEEP,24,0,669.8125003727617,False
MADHYA_MAHARASHTRA,228,228,111246.23644897924,True
MARATHWADA,131,131,62814.39051451658,True
NAGA_MANI_MIZO_TRIP,152,125,67765.56784063,True
NORTH_INT_KARNATAKA,164,164,86524.78532904558,True
ODISHA,273,258,150464.50385216446,True
PUNJAB,106,106,49196.82936394653,True
RAYALASEEMA,129,129,66537.36736101442,True
SAURASHTRA_KUTCH,192,183,97775.55615474432,True
SHWB_SIKKIM,78,69,27891.694448175876,True
SOUTH_INT_KARNATAKA,155,155,84302.48894676776,True
TAMILNADU_PUDUCHERRY,217,197,131764.04779556708,True
TELANGANA,199,199,111573.01950567949,True
UTTARAKHAND,108,103,52237.65306351491,True
VIDARBHA,177,177,94001.95216598756,True
WEST_MP,314,314,166339.09371663528,True
WEST_RAJASTHAN,347,345,193310.83655901326,True
WEST_UP,235,235,111182.33904234982,True
